1   NORMAL
4
T1  0.040 0.040 0.0 4
T2  0.050 0.050 0.0 3
T3  0.200 0.200 0.0 2
T4  0.200 0.200 0.0 1
:BODY
MODE_CHANGE		NORMAL		 0.003021000
START_TASK		T1		 0.003691000
STOP_TASK		T1		 0.012971000
START_TASK		T3		 0.012979000
STOP_TASK		T3		 0.022378000
START_TASK		T2		 0.023779000
STOP_TASK		T2		 0.041260000
START_TASK		T1		 0.043741000
STOP_TASK		T1		 0.053585000
START_TASK		T2		 0.063653000
STOP_TASK		T2		 0.083707000
START_TASK		T1		 0.083756000
STOP_TASK		T1		 0.092921000
START_TASK		T2		 0.103860000
STOP_TASK		T2		 0.120847000
START_TASK		T1		 0.123570000
STOP_TASK		T1		 0.133425000
START_TASK		T4		 0.143738000
STOP_TASK		T4		 0.166330000
START_TASK		T2		 0.166361000
STOP_TASK		T2		 0.182425000
START_TASK		T1		 0.183619000
STOP_TASK		T1		 0.193002000
START_TASK		T1		 0.203695000
STOP_TASK		T1		 0.214239000
START_TASK		T3		 0.214246000
STOP_TASK		T3		 0.224405000
START_TASK		T2		 0.224469000
STOP_TASK		T2		 0.240372000
START_TASK		T1		 0.243750000
STOP_TASK		T1		 0.254144000
START_TASK		T2		 0.264047000
STOP_TASK		T2		 0.285885000
START_TASK		T1		 0.285937000
STOP_TASK		T1		 0.294661000
START_TASK		T2		 0.303745000
STOP_TASK		T2		 0.321528000
START_TASK		T1		 0.323922000
STOP_TASK		T1		 0.333946000
START_TASK		T4		 0.343568000
STOP_TASK		T4		 0.364876000
START_TASK		T2		 0.364948000
STOP_TASK		T2		 0.382179000
START_TASK		T1		 0.383558000
STOP_TASK		T1		 0.392990000
START_TASK		T1		 0.403933000
STOP_TASK		T1		 0.413760000
START_TASK		T3		 0.413761000
STOP_TASK		T3		 0.422857000
START_TASK		T2		 0.423750000
STOP_TASK		T2		 0.442963000
START_TASK		T1		 0.443755000
STOP_TASK		T1		 0.453872000
START_TASK		T2		 0.463896000
STOP_TASK		T2		 0.482941000
START_TASK		T1		 0.483584000
STOP_TASK		T1		 0.494191000
START_TASK		T2		 0.503582000
STOP_TASK		T2		 0.521110000
START_TASK		T1		 0.523550000
STOP_TASK		T1		 0.533144000
START_TASK		T4		 0.543575000
STOP_TASK		T4		 0.563852000
START_TASK		T2		 0.563900000
STOP_TASK		T2		 0.581961000
START_TASK		T1		 0.583828000
STOP_TASK		T1		 0.592905000
START_TASK		T1		 0.603720000
STOP_TASK		T1		 0.614498000
START_TASK		T3		 0.614506000
STOP_TASK		T3		 0.623566000
START_TASK		T2		 0.623700000
STOP_TASK		T2		 0.639488000
START_TASK		T1		 0.643571000
STOP_TASK		T1		 0.654426000
START_TASK		T2		 0.664002000
STOP_TASK		T2		 0.683665000
START_TASK		T1		 0.683695000
