1   NORMAL
 4
T1  0.100 0.100 0.0 8
T2  0.200 0.200 0.0 7
T3  0.400 0.400 0.0 6
T4  0.800 0.800 0.0 5
:BODY
MODE_CHANGE		NORMAL		 0.003230000
START_TASK		T1		 0.003576000
STOP_TASK		T1		 0.024540000
START_TASK		T2		 0.024798000
STOP_TASK		T2		 0.070266000
START_TASK		T3		 0.070313000
START_TASK		T1		 0.103728000
STOP_TASK		T1		 0.122387000
STOP_TASK		T3		 0.146555000
START_TASK		T4		 0.146595000
START_TASK		T1		 0.203314000
STOP_TASK		T1		 0.222059000
START_TASK		T2		 0.222074000
STOP_TASK		T2		 0.260148000
START_TASK		T1		 0.303314000
STOP_TASK		T1		 0.324506000
START_TASK		T1		 0.403342000
STOP_TASK		T1		 0.422842000
START_TASK		T2		 0.422870000
STOP_TASK		T2		 0.464025000
START_TASK		T3		 0.464054000
START_TASK		T1		 0.503305000
STOP_TASK		T1		 0.522167000
STOP_TASK		T3		 0.542102000
START_TASK		T1		 0.603268000
STOP_TASK		T1		 0.623801000
START_TASK		T2		 0.623842000
STOP_TASK		T2		 0.664040000
START_TASK		T1		 0.703306000
STOP_TASK		T1		 0.723414000
STOP_TASK		T4		 0.732185000
START_TASK		T1		 0.803364000
STOP_TASK		T1		 0.825538000
START_TASK		T2		 0.825571000
STOP_TASK		T2		 0.871691000
START_TASK		T3		 0.871718000
START_TASK		T1		 0.903265000
STOP_TASK		T1		 0.927799000
STOP_TASK		T3		 0.953071000
START_TASK		T4		 0.953087000
START_TASK		T1		 1.003421000
STOP_TASK		T1		 1.025073000
START_TASK		T2		 1.025103000
STOP_TASK		T2		 1.063049000
START_TASK		T1		 1.103311000
STOP_TASK		T1		 1.126821000
START_TASK		T1		 1.203281000
STOP_TASK		T1		 1.222101000
START_TASK		T2		 1.222121000
STOP_TASK		T2		 1.265485000
START_TASK		T3		 1.265506000
START_TASK		T1		 1.303285000
STOP_TASK		T1		 1.322047000
STOP_TASK		T3		 1.344393000
START_TASK		T1		 1.403272000
STOP_TASK		T1		 1.422075000
START_TASK		T2		 1.422093000
STOP_TASK		T2		 1.459747000
START_TASK		T1		 1.503260000
STOP_TASK		T1		 1.522103000
STOP_TASK		T4		 1.549514000
START_TASK		T1		 1.603319000
STOP_TASK		T1		 1.623453000
START_TASK		T2		 1.623483000
STOP_TASK		T2		 1.668483000
START_TASK		T3		 1.668509000
START_TASK		T1		 1.703272000
STOP_TASK		T1		 1.728116000
STOP_TASK		T3		 1.755829000
START_TASK		T4		 1.755847000
START_TASK		T1		 1.803307000
STOP_TASK		T1		 1.822202000
START_TASK		T2		 1.822220000
STOP_TASK		T2		 1.865798000
START_TASK		T1		 1.903262000
STOP_TASK		T1		 1.922009000
START_TASK		T1		 2.003305000
STOP_TASK		T1		 2.024620000
START_TASK		T2		 2.024654000
STOP_TASK		T2		 2.062472000
START_TASK		T3		 2.062493000
START_TASK		T1		 2.103263000
STOP_TASK		T1		 2.122168000
STOP_TASK		T3		 2.149691000
START_TASK		T1		 2.203271000
STOP_TASK		T1		 2.222051000
START_TASK		T2		 2.222069000
STOP_TASK		T2		 2.271457000
START_TASK		T1		 2.303314000
STOP_TASK		T1		 2.324527000
STOP_TASK		T4		 2.358500000
START_TASK		T1		 2.403338000
STOP_TASK		T1		 2.424721000
START_TASK		T2		 2.424737000
STOP_TASK		T2		 2.472050000
START_TASK		T3		 2.472068000
START_TASK		T1		 2.503260000
STOP_TASK		T1		 2.522630000
STOP_TASK		T3		 2.547774000
START_TASK		T4		 2.547789000
START_TASK		T1		 2.603258000
STOP_TASK		T1		 2.622102000
START_TASK		T2		 2.622119000
STOP_TASK		T2		 2.660650000
START_TASK		T1		 2.703289000
STOP_TASK		T1		 2.722098000
START_TASK		T1		 2.803272000
STOP_TASK		T1		 2.822006000
START_TASK		T2		 2.822023000
STOP_TASK		T2		 2.865220000
START_TASK		T3		 2.865236000
START_TASK		T1		 2.903283000
STOP_TASK		T1		 2.932022000
STOP_TASK		T3		 2.956891000
START_TASK		T1		 3.003313000
STOP_TASK		T1		 3.024840000
START_TASK		T2		 3.024873000
STOP_TASK		T2		 3.063227000
START_TASK		T1		 3.103323000
STOP_TASK		T1		 3.125464000
STOP_TASK		T4		 3.160266000
START_TASK		T1		 3.203273000
STOP_TASK		T1		 3.222976000
START_TASK		T2		 3.222995000
STOP_TASK		T2		 3.265740000
START_TASK		T3		 3.265758000
START_TASK		T1		 3.303300000
STOP_TASK		T1		 3.324470000
STOP_TASK		T3		 3.346139000
START_TASK		T4		 3.346166000
START_TASK		T1		 3.403275000
STOP_TASK		T1		 3.422077000
START_TASK		T2		 3.422096000
STOP_TASK		T2		 3.466254000
START_TASK		T1		 3.503248000
STOP_TASK		T1		 3.522703000
START_TASK		T1		 3.603274000
STOP_TASK		T1		 3.624705000
START_TASK		T2		 3.624739000
STOP_TASK		T2		 3.668657000
START_TASK		T3		 3.669007000
START_TASK		T1		 3.703378000
STOP_TASK		T1		 3.731284000
STOP_TASK		T3		 3.771288000
START_TASK		T1		 3.803313000
STOP_TASK		T1		 3.829387000
START_TASK		T2		 3.829423000
STOP_TASK		T2		 3.885692000
START_TASK		T1		 3.903323000
STOP_TASK		T1		 3.933434000
START_TASK		T1		 4.003395000
STOP_TASK		T1		 4.028233000
START_TASK		T2		 4.028276000
STOP_TASK		T2		 4.082561000
START_TASK		T3		 4.082592000
START_TASK		T1		 4.103323000
STOP_TASK		T1		 4.130218000
STOP_TASK		T3		 4.186007000
START_TASK		T1		 4.203333000
STOP_TASK		T1		 4.229559000
START_TASK		T2		 4.229621000
STOP_TASK		T2		 4.282679000
STOP_TASK		T4		 4.298299000
START_TASK		T4		 4.298318000
